                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.0099,                0.82079,                 1.2268,                0.98634,                      1,                  0.995,                 0.4273,                 2.0731,                 1.2693,                 2.0147,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.0488,                 0.8815,                 1.2669,                0.96896,                      1,                  0.995,                0.59688,                 1.3682,                0.82968,                 1.7329,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.0585,                0.85245,                 1.2682,                0.96966,                      1,                  0.995,                0.56208,                  1.608,                0.81961,                 1.7518,              0.0010397,              0.0010397,              0.0010397
                    100,                0.99637,                0.84455,                 1.2416,                0.97847,                      1,                  0.995,                  0.658,                 1.1734,                0.78937,                 1.2402,              0.0010298,              0.0010298,              0.0010298
                    101,                 1.0054,                0.83239,                 1.2652,                0.97953,                      1,                  0.995,                0.74636,                0.98921,                0.78945,                 1.0923,              0.0010199,              0.0010199,              0.0010199
                    102,                0.99502,                0.79784,                 1.2785,                0.97939,                      1,                  0.995,                  0.676,                 1.3081,                0.83899,                 1.0939,                0.00101,                0.00101,                0.00101
                    103,                 1.1202,                0.86493,                 1.3365,                0.99018,                      1,                  0.995,                0.56356,                 1.4255,                 1.0701,                 1.1254,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.1281,                0.92857,                 1.3412,                0.98303,                      1,                  0.995,                0.84596,                0.92281,                0.63881,                0.97507,              0.0009902,              0.0009902,              0.0009902
                    105,                0.99006,                0.82071,                 1.2555,                0.98843,                      1,                  0.995,                 0.8955,                0.74859,                0.65235,                0.88108,              0.0009803,              0.0009803,              0.0009803
                    106,                0.98466,                0.81747,                  1.218,                0.98608,                      1,                  0.995,                0.82117,                0.86335,                0.68537,                0.89452,              0.0009704,              0.0009704,              0.0009704
                    107,                0.98758,                0.84053,                 1.2299,                0.98553,                      1,                  0.995,                0.82115,                 0.8286,                0.82511,                0.92065,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.0069,                0.80873,                 1.2673,                0.98024,                      1,                  0.995,                0.69691,                 1.1846,                0.79742,                 1.0035,              0.0009506,              0.0009506,              0.0009506
                    109,                  1.092,                0.87058,                 1.3382,                0.97995,                      1,                  0.995,                0.57226,                 1.5568,                0.95697,                 1.1582,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.0103,                0.85141,                  1.288,                0.98361,                      1,                  0.995,                0.69647,                 1.0786,                0.91568,                 1.1256,              0.0009308,              0.0009308,              0.0009308
                    111,                 1.0292,                0.85945,                 1.2696,                0.99556,                      1,                  0.995,                0.84569,                0.76836,                 0.7585,                  1.017,              0.0009209,              0.0009209,              0.0009209
                    112,                0.95064,                0.82155,                 1.2171,                0.99857,                      1,                  0.995,                0.74577,                0.90536,                0.97799,                0.98788,               0.000911,               0.000911,               0.000911
                    113,                 1.0093,                0.88343,                 1.2543,                0.99292,                      1,                  0.995,                0.63659,                 1.0934,                0.98681,                 1.0385,              0.0009011,              0.0009011,              0.0009011
                    114,                 1.0469,                0.85108,                 1.2645,                0.99223,                      1,                  0.995,                0.65317,                 1.2136,                 0.7853,                 1.0952,              0.0008912,              0.0008912,              0.0008912
                    115,                 1.0024,                0.96073,                 1.2605,                      1,                0.99993,                  0.995,                0.77911,                0.83446,                0.66893,                0.95685,              0.0008813,              0.0008813,              0.0008813
                    116,                 1.0234,                0.87875,                 1.2532,                0.99488,                      1,                  0.995,                  0.796,                0.82523,                0.63476,                0.95472,              0.0008714,              0.0008714,              0.0008714
                    117,                 1.0367,                0.89559,                  1.279,                0.98557,                      1,                  0.995,                 0.8955,                0.65754,                0.58721,                0.95826,              0.0008615,              0.0008615,              0.0008615
                    118,                0.91557,                0.79147,                 1.2251,                0.99892,                      1,                  0.995,                  0.796,                 0.9273,                0.84389,                 1.0548,              0.0008516,              0.0008516,              0.0008516
                    119,                0.91883,                 0.8002,                 1.2268,                0.98144,                      1,                  0.995,                0.66317,                 1.2752,                0.90738,                 1.1198,              0.0008417,              0.0008417,              0.0008417
                    120,                0.93138,                0.75383,                  1.194,                0.98524,                      1,                  0.995,                0.72192,                 1.2716,                0.86459,                 1.0886,              0.0008318,              0.0008318,              0.0008318
                    121,                0.90312,                0.74996,                 1.1952,                0.97491,                      1,                  0.995,                0.74755,                 1.0207,                0.80852,                  1.001,              0.0008219,              0.0008219,              0.0008219
                    122,                0.93889,                0.74945,                 1.2135,                0.98168,                      1,                  0.995,                0.82196,                  0.756,                0.61932,                 0.9752,               0.000812,               0.000812,               0.000812
                    123,                0.99557,                0.77873,                 1.2248,                0.98233,                      1,                  0.995,                 0.8955,                0.61376,                0.56621,                0.92374,              0.0008021,              0.0008021,              0.0008021
